SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
觀音,桃園市,60,細懸浮微粒,普通,1.8,0.11,0.1,24,23,39,21,3.1,4,0.8,2.3,46,2018-07-27 16:00,19,41,25.035503,121.082761
大園,桃園市,48,,良好,3.7,0.17,0.2,21,22,37,10,11,17,6,2.1,50,2018-07-27 16:00,15,38,25.060344,121.201811
桃園,桃園市,69,細懸浮微粒,普通,7,0.41,0.2,17,23,35,24,13,19,5.3,1.5,49,2018-07-27 16:00,23,36,24.994789,121.319964
大同,臺北市,55,細懸浮微粒,普通,4,1.92,1.2,-,,45,14,45,123,78,,,2018-07-27 16:00,17,51,25.0632,121.513311
松山,臺北市,71,細懸浮微粒,普通,11,0.26,0.4,8.2,27,44,20,17,30,13,1.7,42,2018-07-27 16:00,24,45,25.05,121.578611
古亭,臺北市,,,設備維護,1.8,0.47,0.5,34,34,42,,29,34,4.9,2,106,2018-07-27 16:00,,42,25.020608,121.529556
萬華,臺北市,65,細懸浮微粒,普通,1.8,0.6,0.5,27,24,34,23,33,40,6.4,1.7,165,2018-07-27 16:00,21,39,25.046503,121.507972
中山,臺北市,61,細懸浮微粒,普通,4.9,0.53,0.6,18,20,29,19,22,36,14,1.9,119,2018-07-27 16:00,20,37,25.062361,121.526528
士林,臺北市,62,細懸浮微粒,普通,2.4,0.37,0.2,22,25,38,19,22,25,3.5,2.4,132,2018-07-27 16:00,20,32,25.105417,121.515389
淡水,新北市,61,懸浮微粒,普通,,,0.3,18,16,,,,,,,,2018-07-27 16:00,16,69,25.1645,121.449239
林口,新北市,31,,良好,3.4,0.17,0.1,25,25,38,9,13,18,5.2,2.3,89,2018-07-27 16:00,8,33,25.077197,121.376869
菜寮,新北市,58,細懸浮微粒,普通,2,0.55,0.3,30,24,32,18,23,28,4.1,0.9,181,2018-07-27 16:00,18,34,25.06895,121.481028
新莊,新北市,63,細懸浮微粒,普通,2.8,0.41,0.3,33,28,25,21,21,24,2.4,1.6,147,2018-07-27 16:00,20,33,25.037972,121.4325
板橋,新北市,54,細懸浮微粒,普通,1.9,0.47,0.4,32,30,38,15,24,28,3.3,1.7,130,2018-07-27 16:00,17,48,25.012972,121.458667
土城,新北市,65,細懸浮微粒,普通,2.7,0.39,0.4,34,36,33,19,22,25,2.7,1.3,144,2018-07-27 16:00,21,38,24.982528,121.451861
新店,新北市,68,細懸浮微粒,普通,1.4,0.3,0.4,43,45,22,16,12,13,1.4,2,132,2018-07-27 16:00,23,36,24.977222,121.537778
萬里,新北市,55,細懸浮微粒,普通,4,0.12,0.1,28,32,26,13,2.6,3.7,1.2,1.7,37,2018-07-27 16:00,17,32,25.179667,121.689881
汐止,新北市,41,,良好,14,0.17,0.4,12,25,22,4,16,24,8.7,1.8,42,2018-07-27 16:00,13,26,25.067131,121.6423
基隆,基隆市,43,,良好,2,0.1,0.2,25,25,19,10,4.5,5.3,0.8,1,73,2018-07-27 16:00,13,23,25.129167,121.760056
